date,PER,PBR,DIVIDEND
2005-01-31,18.96,1.71,
2005-02-28,19.7,1.75,
2005-03-31,20.89,1.78,
2005-04-30,19.35,1.67,
2005-05-31,16.4,1.6,
2005-06-30,16.87,1.64,
2005-07-31,17.31,1.69,
2005-08-31,17.91,1.79,
2005-09-30,20.42,2.08,
2005-10-31,20.66,2.16,
2005-11-30,21.29,2.32,
2005-12-31,22.91,2.48,
2006-01-31,23.59,2.57,
2006-02-28,22.55,2.51,
2006-03-31,23.08,2.6,
2006-04-30,22.34,2.49,
2006-05-31,19.34,1.97,
2006-06-30,19.15,1.95,
2006-07-31,19.08,1.94,
2006-08-31,19.79,2.02,
2006-09-30,19.57,1.99,
2006-10-31,20.03,2.03,
2006-11-30,18.94,2.01,
2006-12-31,20.01,2.12,
2007-01-31,20.42,2.16,
2007-02-28,20.67,2.2,
2007-03-31,20.2,2.16,
2007-04-30,19.85,2.09,
2007-05-31,19.37,2.05,
2007-06-30,19.49,2.06,
2007-07-31,18.51,1.97,
2007-08-31,17.59,1.87,
2007-09-30,17.79,1.88,
2007-10-31,17.7,1.89,
2007-11-30,16.95,1.78,
2007-12-31,16.44,1.74,
2008-01-31,14.99,1.58,
2008-02-29,15.08,1.55,
2008-03-31,13.84,1.41,
2008-04-30,16.35,1.6,
2008-05-31,17.08,1.68,
2008-06-30,15.96,1.57,
2008-07-31,16.34,1.56,
2008-08-31,15.79,1.5,
2008-09-30,13.83,1.29,
2008-10-31,12.24,1.01,
2008-11-30,14.62,0.97,
2008-12-31,16.64,1.0,
2009-01-31,19.59,0.92,
2009-02-28,72.04,0.88,
2009-03-31,93.39,0.9,
2009-04-30,285.81,1.01,
2009-05-31,40.51,1.24,
2009-06-30,41.81,1.28,
2009-07-31,42.54,1.32,
2009-08-31,40.59,1.34,
2009-09-30,39.6,1.26,
2009-10-31,38.59,1.25,
2009-11-30,32.19,1.17,
2009-12-31,35.82,1.3,
2010-01-31,35.2,1.29,
2010-02-28,30.44,1.28,
2010-03-31,34.15,1.41,
2010-04-30,26.99,1.4,
2010-05-31,17.0,1.14,
2010-06-30,16.15,1.09,
2010-07-31,16.4,1.11,
2010-08-31,15.27,1.05,
2010-09-30,15.73,1.09,
2010-10-31,15.35,1.07,
2010-11-30,15.22,1.14,
2010-12-31,15.92,1.18,
2011-01-31,16.1,1.2,
2011-02-28,16.18,1.25,
2011-03-31,14.51,1.14,
2011-04-30,14.74,1.13,
2011-05-31,14.85,1.09,
2011-06-30,14.94,1.09,
2011-07-31,14.76,1.09,
2011-08-31,13.31,0.99,
2011-09-30,13.06,0.97,
2011-10-31,13.43,0.99,
2011-11-30,14.11,0.93,
2011-12-31,14.76,0.93,
2012-01-31,16.03,0.97,
2012-02-29,22.59,1.08,
2012-03-31,22.7,1.1,
2012-04-30,20.77,1.03,
2012-05-31,10.96,0.9,
2012-06-30,11.73,0.96,
2012-07-31,11.47,0.93,
2012-08-31,11.75,0.92,
2012-09-30,11.8,0.92,
2012-10-31,12.34,0.93,
2012-11-30,15.25,0.99,
2012-12-31,17.01,1.1,
2013-01-31,18.73,1.21,
2013-02-28,19.97,1.25,
2013-03-31,20.88,1.31,
2013-04-30,21.09,1.46,
2013-05-31,15.31,1.31,
2013-06-30,15.23,1.3,
2013-07-31,15.23,1.3,
2013-08-31,14.77,1.28,
2013-09-30,15.81,1.37,
2013-10-31,15.72,1.37,
2013-11-30,16.0,1.45,
2013-12-31,16.63,1.5,
2014-01-31,14.9,1.39,
2014-02-28,14.76,1.38,
2014-03-31,14.54,1.36,
2014-04-30,13.71,1.28,
2014-05-31,14.07,1.21,
2014-06-30,14.71,1.27,
2014-07-31,15.05,1.3,
2014-08-31,14.84,1.28,
2014-09-30,15.77,1.33,
2014-10-31,15.78,1.34,
2014-11-30,16.4,1.42,
2014-12-31,15.96,1.4,
2015-01-31,15.55,1.36,
2015-02-28,16.89,1.46,
2015-03-31,17.14,1.47,
2015-04-30,17.92,1.48,
2015-05-31,16.6,1.42,
2015-06-30,16.09,1.37,
2015-07-31,16.46,1.41,
2015-08-31,15.06,1.3,
2015-09-30,13.7,1.17,
2015-10-31,15.43,1.3,
2015-11-30,15.48,1.32,
2015-12-31,15.57,1.29,
2016-01-31,14.69,1.19,
2016-02-29,13.93,1.07,
2016-03-31,14.92,1.11,
2016-04-30,15.26,1.1,
2016-05-31,14.46,1.17,
2016-06-30,13.01,1.06,
2016-07-31,13.82,1.14,
2016-08-31,14.19,1.17,
2016-09-30,13.88,1.15,
2016-10-31,14.84,1.21,
2016-11-30,15.64,1.29,
2016-12-31,16.18,1.33,
2017-01-31,16.26,1.33,
2017-02-28,15.86,1.28,
2017-03-31,15.49,1.25,
2017-04-30,15.95,1.26,
2017-05-31,14.02,1.25,
2017-06-30,14.32,1.28,
2017-07-31,14.29,1.28,
2017-08-31,13.93,1.24,
2017-09-30,14.39,1.28,
2017-10-31,15.24,1.32,
2017-11-30,14.92,1.31,
2017-12-31,15.06,1.32,
2018-01-31,15.06,1.32,
2018-02-28,15.06,1.32,
2018-03-31,15.06,1.32,
2018-04-30,13.07,1.24,
2018-05-31,13.32,1.22,
2018-06-30,13.25,1.21,
2018-07-31,13.49,1.23,
2018-08-31,13.2,1.21,
2018-09-30,13.88,1.28,
2018-10-31,12.6,1.17,
2018-11-30,12.48,1.15,
2018-12-31,11.22,1.04,
2019-01-31,12.06,1.1,2.21
2019-02-28,12.3,1.14,2.19
2019-03-31,12.32,1.12,2.21
2019-04-30,12.32,1.12,2.21
2019-05-31,12.32,1.12,2.21
2019-06-30,12.32,1.12,2.21
2019-07-31,12.32,1.12,2.21
2019-08-31,12.32,1.12,2.21
2019-09-30,12.32,1.12,2.21
2019-10-31,12.32,1.12,2.21
2019-11-30,12.32,1.12,2.21
2019-12-31,12.32,1.12,2.21
2020-01-31,14.16,1.14,2.09
2020-02-29,13.05,1.02,2.34
2020-03-31,12.48,0.92,2.6
2020-04-30,16.07,0.96,2.16
2020-05-31,20.72,1.07,1.65
2020-06-30,18.08,1.07,2.06
2020-07-31,17.9,1.03,2.2
2020-08-31,22.04,1.1,1.96
2020-09-30,23.05,1.09,1.94
2020-10-31,22.31,1.07,2.0
2020-11-30,24.24,1.18,1.76
2020-12-31,25.26,1.21,1.69
2021-01-31,25.05,1.21,1.68
2021-02-28,21.78,1.26,1.66
2021-03-31,22.65,1.32,1.64
2021-04-30,20.42,1.27,1.69
2021-05-31,13.95,1.22,1.84
2021-06-30,13.91,1.23,1.84
2021-07-31,13.34,1.19,1.93
2021-08-31,13.1,1.19,2.04
2021-09-30,13.68,1.24,1.96
2021-10-31,14.08,1.29,1.94
2021-11-30,13.38,1.22,2.16
2021-12-31,13.8,1.26,2.05
2022-01-31,13.31,1.22,2.18
2022-02-28,12.79,1.18,2.39
2022-03-31,13.3,1.23,2.24
2022-04-30,12.85,1.2,2.33
2022-05-31,13.09,1.18,2.41
2022-06-30,12.75,1.15,2.49
2022-07-31,12.86,1.18,2.39
2022-08-31,12.82,1.16,2.46
2022-09-30,11.95,1.09,2.48
2022-10-31,12.78,1.16,2.31
2022-11-30,12.83,1.16,2.27
2022-12-31,12.15,1.1,2.42
2023-01-31,12.77,1.15,2.29
2023-02-28,13.03,1.18,2.36
2023-03-31,13.23,1.18,2.3
2023-04-30,13.69,1.23,2.23
2023-05-31,14.09,1.27,2.07
2023-06-30,15.24,1.37,1.94
2023-07-31,15.41,1.37,1.95
2023-08-31,15.34,1.32,1.98
2023-09-30,15.35,1.31,2.05
2023-10-31,14.89,1.27,2.05
2023-11-30,14.85,1.31,1.95
2023-12-31,14.74,1.3,1.95
2024-01-31,14.74,1.3,1.95
2024-02-29,14.74,1.3,1.95
2024-03-31,14.74,1.3,1.95
2024-04-30,17.04,1.53,1.7
2024-05-31,16.52,1.48,1.8
2024-06-30,16.74,1.5,1.8
2024-07-31,16.44,1.47,1.85
2024-08-31,15.83,1.39,1.93
2024-09-30,15.27,1.34,1.97
2024-10-31,15.76,1.38,1.95
2024-11-30,15.5,1.41,2.03
2024-12-31,16.14,1.47,1.98
