date,year_month,PE,DividendYield,PB
1990-01-01,1990-01,15.13,3.28,
1990-02-01,1990-02,14.97,3.4,
1990-03-01,1990-03,15.62,3.34,
1990-04-01,1990-04,15.7,3.38,
1990-05-01,1990-05,16.37,3.3,
1990-06-01,1990-06,16.95,3.24,
1990-07-01,1990-07,16.81,3.26,
1990-08-01,1990-08,15.33,3.56,
1990-09-01,1990-09,14.51,3.75,
1990-10-01,1990-10,14.21,3.88,
1990-11-01,1990-11,14.68,3.81,
1990-12-01,1990-12,15.41,3.68,
1991-01-01,1991-01,15.35,3.72,
1991-02-01,1991-02,17.19,3.34,
1991-03-01,1991-03,17.78,3.25,
1991-04-01,1991-04,18.58,3.19,
1991-05-01,1991-05,18.98,3.21,
1991-06-01,1991-06,19.49,3.21,
1991-07-01,1991-07,20.14,3.21,
1991-08-01,1991-08,21.22,3.14,
1991-09-01,1991-09,21.73,3.17,
1991-10-01,1991-10,22.49,3.17,
1991-11-01,1991-11,23.27,3.17,
1991-12-01,1991-12,24.33,3.14,
1992-01-01,1992-01,25.93,2.94,
1992-02-01,1992-02,25.6,2.98,
1992-03-01,1992-03,25.16,3.03,
1992-04-01,1992-04,24.73,3.02,
1992-05-01,1992-05,24.75,2.97,
1992-06-01,1992-06,23.95,3.02,
1992-07-01,1992-07,23.88,2.97,
1992-08-01,1992-08,23.6,2.96,
1992-09-01,1992-09,23.2,2.96,
1992-10-01,1992-10,22.43,3.0,
1992-11-01,1992-11,22.56,2.93,
1992-12-01,1992-12,22.82,2.84,
1993-01-01,1993-01,22.5,2.85,
1993-02-01,1993-02,22.55,2.82,
1993-03-01,1993-03,22.69,2.77,
1993-04-01,1993-04,22.53,2.82,
1993-05-01,1993-05,22.83,2.81,
1993-06-01,1993-06,23.18,2.79,
1993-07-01,1993-07,22.72,2.8,
1993-08-01,1993-08,22.65,2.76,
1993-09-01,1993-09,22.5,2.73,
1993-10-01,1993-10,22.19,2.7,
1993-11-01,1993-11,21.63,2.71,
1993-12-01,1993-12,21.29,2.7,
1994-01-01,1994-01,21.34,2.67,
1994-02-01,1994-02,21.02,2.69,
1994-03-01,1994-03,20.42,2.74,
1994-04-01,1994-04,19.0,2.85,
1994-05-01,1994-05,18.5,2.84,
1994-06-01,1994-06,18.05,2.82,
1994-07-01,1994-07,17.42,2.85,
1994-08-01,1994-08,17.44,2.78,
1994-09-01,1994-09,17.09,2.77,
1994-10-01,1994-10,16.32,2.8,
1994-11-01,1994-11,15.62,2.84,
1994-12-01,1994-12,14.88,2.89,
1995-01-01,1995-01,14.89,2.83,
1995-02-01,1995-02,15.11,2.73,
1995-03-01,1995-03,15.15,2.67,
1995-04-01,1995-04,15.31,2.61,
1995-05-01,1995-05,15.5,2.54,
1995-06-01,1995-06,15.67,2.48,
1995-07-01,1995-07,16.07,2.41,
1995-08-01,1995-08,16.01,2.42,
1995-09-01,1995-09,16.45,2.35,
1995-10-01,1995-10,16.76,2.34,
1995-11-01,1995-11,17.33,2.3,
1995-12-01,1995-12,18.1,2.24,
1996-01-01,1996-01,18.08,2.26,
1996-02-01,1996-02,19.1,2.16,
1996-03-01,1996-03,19.01,2.18,
1996-04-01,1996-04,18.85,2.19,
1996-05-01,1996-05,19.1,2.15,
1996-06-01,1996-06,19.15,2.14,
1996-07-01,1996-07,18.26,2.24,
1996-08-01,1996-08,18.6,2.19,
1996-09-01,1996-09,18.75,2.17,
1996-10-01,1996-10,19.0,2.1,
1996-11-01,1996-11,19.45,2.01,
1996-12-01,1996-12,19.19,2.0,
1997-01-01,1997-01,19.53,1.95,
1997-02-01,1997-02,20.09,1.88,
1997-03-01,1997-03,19.69,1.9,
1997-04-01,1997-04,18.94,1.98,
1997-05-01,1997-05,20.6,1.82,
1997-06-01,1997-06,21.61,1.73,
1997-07-01,1997-07,22.8,1.64,
1997-08-01,1997-08,22.83,1.65,
1997-09-01,1997-09,23.06,1.64,
1997-10-01,1997-10,23.58,1.62,
1997-11-01,1997-11,23.46,1.64,
1997-12-01,1997-12,24.23,1.61,
1998-01-01,1998-01,24.29,1.61,
1998-02-01,1998-02,25.85,1.52,
1998-03-01,1998-03,27.23,1.45,
1998-04-01,1998-04,28.26,1.42,
1998-05-01,1998-05,28.3,1.43,
1998-06-01,1998-06,28.44,1.44,
1998-07-01,1998-07,29.9,1.38,
1998-08-01,1998-08,28.0,1.5,
1998-09-01,1998-09,26.8,1.58,
1998-10-01,1998-10,27.2,1.57,
1998-11-01,1998-11,30.25,1.41,
1998-12-01,1998-12,31.56,1.36,
1999-01-01,1999-01,32.92,1.3,
1999-02-01,1999-02,32.67,1.31,
1999-03-01,1999-03,33.39,1.28,
1999-04-01,1999-04,34.0,1.23,
1999-05-01,1999-05,33.19,1.23,
1999-06-01,1999-06,32.24,1.24,
1999-07-01,1999-07,32.88,1.2,
1999-08-01,1999-08,30.89,1.25,
1999-09-01,1999-09,29.99,1.26,
1999-10-01,1999-10,28.66,1.28,
1999-11-01,1999-11,29.74,1.2,
1999-12-01,1999-12,29.66,1.17,5.05
2000-01-01,2000-01,29.04,1.17,5.05
2000-02-01,2000-02,27.76,1.21,5.05
2000-03-01,2000-03,28.31,1.16,5.05
2000-04-01,2000-04,28.5,1.15,5.05
2000-05-01,2000-05,27.49,1.18,5.05
2000-06-01,2000-06,28.16,1.14,5.05
2000-07-01,2000-07,28.05,1.13,5.05
2000-08-01,2000-08,27.97,1.11,5.05
2000-09-01,2000-09,27.34,1.11,5.05
2000-10-01,2000-10,26.5,1.17,5.05
2000-11-01,2000-11,26.9,1.18,5.05
2000-12-01,2000-12,26.62,1.22,4.05
2001-01-01,2001-01,27.55,1.21,4.05
2001-02-01,2001-02,27.81,1.23,4.05
2001-03-01,2001-03,26.1,1.35,4.05
2001-04-01,2001-04,27.96,1.33,4.05
2001-05-01,2001-05,32.02,1.24,4.05
2001-06-01,2001-06,33.67,1.27,4.05
2001-07-01,2001-07,35.46,1.3,4.05
2001-08-01,2001-08,37.85,1.33,4.05
2001-09-01,2001-09,36.9,1.51,4.05
2001-10-01,2001-10,39.72,1.46,4.05
2001-11-01,2001-11,43.62,1.39,4.05
2001-12-01,2001-12,46.37,1.37,3.39
2002-01-01,2002-01,46.17,1.38,3.39
2002-02-01,2002-02,44.57,1.43,3.39
2002-03-01,2002-03,46.71,1.36,3.39
2002-04-01,2002-04,43.81,1.42,3.39
2002-05-01,2002-05,41.41,1.48,3.39
2002-06-01,2002-06,37.92,1.58,3.39
2002-07-01,2002-07,32.46,1.77,3.39
2002-08-01,2002-08,31.53,1.74,3.39
2002-09-01,2002-09,28.89,1.82,3.39
2002-10-01,2002-10,29.24,1.86,3.39
2002-11-01,2002-11,32.03,1.76,3.39
2002-12-01,2002-12,32.59,1.79,2.73
2003-01-01,2003-01,31.43,1.8,2.73
2003-02-01,2003-02,28.46,1.93,2.73
2003-03-01,2003-03,27.92,1.92,2.73
2003-04-01,2003-04,28.05,1.82,2.73
2003-05-01,2003-05,28.24,1.73,2.73
2003-06-01,2003-06,28.6,1.64,2.73
2003-07-01,2003-07,27.65,1.64,2.73
2003-08-01,2003-08,26.57,1.66,2.73
2003-09-01,2003-09,26.42,1.63,2.73
2003-10-01,2003-10,24.75,1.62,2.73
2003-11-01,2003-11,23.15,1.63,2.73
2003-12-01,2003-12,22.17,1.61,3.03
2004-01-01,2004-01,22.73,1.55,3.03
2004-02-01,2004-02,22.46,1.56,3.03
2004-03-01,2004-03,21.61,1.6,3.03
2004-04-01,2004-04,21.23,1.61,3.03
2004-05-01,2004-05,20.14,1.67,3.03
2004-06-01,2004-06,20.17,1.64,3.03
2004-07-01,2004-07,19.51,1.7,3.03
2004-08-01,2004-08,19.03,1.74,3.03
2004-09-01,2004-09,19.35,1.71,3.03
2004-10-01,2004-10,19.25,1.72,3.03
2004-11-01,2004-11,20.05,1.66,3.03
2004-12-01,2004-12,20.48,1.62,2.92
2005-01-01,2005-01,19.99,1.67,2.92
2005-02-01,2005-02,20.11,1.66,2.92
2005-03-01,2005-03,19.84,1.69,2.92
2005-04-01,2005-04,19.02,1.76,2.92
2005-05-01,2005-05,18.93,1.76,2.92
2005-06-01,2005-06,19.0,1.74,2.92
2005-07-01,2005-07,19.0,1.73,2.92
2005-08-01,2005-08,18.72,1.74,2.92
2005-09-01,2005-09,18.44,1.75,2.92
2005-10-01,2005-10,17.64,1.82,2.92
2005-11-01,2005-11,18.01,1.78,2.92
2005-12-01,2005-12,18.07,1.76,2.76
2006-01-01,2006-01,18.07,1.75,2.76
2006-02-01,2006-02,17.8,1.77,2.76
2006-03-01,2006-03,17.8,1.76,2.76
2006-04-01,2006-04,17.77,1.77,2.76
2006-05-01,2006-05,17.46,1.8,2.76
2006-06-01,2006-06,16.82,1.87,2.76
2006-07-01,2006-07,16.61,1.88,2.76
2006-08-01,2006-08,16.67,1.85,2.76
2006-09-01,2006-09,16.77,1.83,2.76
2006-10-01,2006-10,17.14,1.79,2.76
2006-11-01,2006-11,17.24,1.77,2.76
2006-12-01,2006-12,17.38,1.76,2.81
2007-01-01,2007-01,17.36,1.76,2.81
2007-02-01,2007-02,17.49,1.75,2.81
2007-03-01,2007-03,16.92,1.81,2.81
2007-04-01,2007-04,17.48,1.76,2.81
2007-05-01,2007-05,17.92,1.72,2.81
2007-06-01,2007-06,17.83,1.73,2.81
2007-07-01,2007-07,18.36,1.74,2.81
2007-08-01,2007-08,18.02,1.84,2.81
2007-09-01,2007-09,19.05,1.8,2.81
2007-10-01,2007-10,20.68,1.77,2.81
2007-11-01,2007-11,20.81,1.88,2.81
2007-12-01,2007-12,22.35,1.87,2.77
2008-01-01,2008-01,21.46,2.03,2.77
2008-02-01,2008-02,21.74,2.07,2.77
2008-03-01,2008-03,21.81,2.15,2.77
2008-04-01,2008-04,23.88,2.08,2.77
2008-05-01,2008-05,25.81,2.04,2.77
2008-06-01,2008-06,26.11,2.14,2.77
2008-07-01,2008-07,25.37,2.29,2.77
2008-08-01,2008-08,26.83,2.25,2.77
2008-09-01,2008-09,26.48,2.37,2.77
2008-10-01,2008-10,27.22,2.96,2.77
2008-11-01,2008-11,34.99,3.23,2.77
2008-12-01,2008-12,58.98,3.23,2.0
2009-01-01,2009-01,70.91,3.24,2.0
2009-02-01,2009-02,84.46,3.43,2.0
2009-03-01,2009-03,110.37,3.6,2.0
2009-04-01,2009-04,119.85,3.15,2.0
2009-05-01,2009-05,123.73,2.9,2.0
2009-06-01,2009-06,123.32,2.76,2.0
2009-07-01,2009-07,101.87,2.67,2.0
2009-08-01,2009-08,92.95,2.42,2.0
2009-09-01,2009-09,83.3,2.29,2.0
2009-10-01,2009-10,42.12,2.19,2.0
2009-11-01,2009-11,28.51,2.1,2.0
2009-12-01,2009-12,21.78,2.02,2.17
2010-01-01,2010-01,20.7,1.98,2.17
2010-02-01,2010-02,18.91,2.03,2.17
2010-03-01,2010-03,18.91,1.9,2.17
2010-04-01,2010-04,19.01,1.83,2.17
2010-05-01,2010-05,17.3,1.95,2.17
2010-06-01,2010-06,16.15,2.03,2.17
2010-07-01,2010-07,15.72,2.05,2.17
2010-08-01,2010-08,15.47,2.05,2.17
2010-09-01,2010-09,15.61,1.99,2.17
2010-10-01,2010-10,15.9,1.92,2.17
2010-11-01,2010-11,15.88,1.89,2.17
2010-12-01,2010-12,16.05,1.83,2.17
2011-01-01,2011-01,16.3,1.79,2.17
2011-02-01,2011-02,16.52,1.76,2.17
2011-03-01,2011-03,16.04,1.8,2.17
2011-04-01,2011-04,16.21,1.78,2.17
2011-05-01,2011-05,16.12,1.8,2.17
2011-06-01,2011-06,15.35,1.89,2.17
2011-07-01,2011-07,15.61,1.86,2.17
2011-08-01,2011-08,13.79,2.1,2.17
2011-09-01,2011-09,13.5,2.15,2.17
2011-10-01,2011-10,13.88,2.12,2.17
2011-11-01,2011-11,14.1,2.12,2.17
2011-12-01,2011-12,14.3,2.13,2.05
2012-01-01,2012-01,14.87,2.06,2.05
2012-02-01,2012-02,15.37,2.0,2.05
2012-03-01,2012-03,15.69,1.97,2.05
2012-04-01,2012-04,15.7,2.0,2.05
2012-05-01,2012-05,15.22,2.09,2.05
2012-06-01,2012-06,15.05,2.14,2.05
2012-07-01,2012-07,15.55,2.11,2.05
2012-08-01,2012-08,16.14,2.08,2.05
2012-09-01,2012-09,16.69,2.05,2.05
2012-10-01,2012-10,16.62,2.1,2.05
2012-11-01,2012-11,16.12,2.2,2.05
2012-12-01,2012-12,16.44,2.2,2.14
2013-01-01,2013-01,17.03,2.13,2.14
2013-02-01,2013-02,17.32,2.1,2.14
2013-03-01,2013-03,17.68,2.07,2.14
2013-04-01,2013-04,17.69,2.07,2.14
2013-05-01,2013-05,18.25,2.01,2.14
2013-06-01,2013-06,17.8,2.06,2.14
2013-07-01,2013-07,18.12,2.02,2.14
2013-08-01,2013-08,17.91,2.04,2.14
2013-09-01,2013-09,17.88,2.04,2.14
2013-10-01,2013-10,17.86,2.01,2.14
2013-11-01,2013-11,18.15,1.95,2.14
2013-12-01,2013-12,18.04,1.94,2.58
2014-01-01,2014-01,18.15,1.94,2.58
2014-02-01,2014-02,18.06,1.97,2.58
2014-03-01,2014-03,18.48,1.94,2.58
2014-04-01,2014-04,18.35,1.96,2.58
2014-05-01,2014-05,18.46,1.96,2.58
2014-06-01,2014-06,18.88,1.92,2.58
2014-07-01,2014-07,18.96,1.91,2.58
2014-08-01,2014-08,18.68,1.94,2.58
2014-09-01,2014-09,18.81,1.93,2.58
2014-10-01,2014-10,18.5,2.0,2.58
2014-11-01,2014-11,19.75,1.91,2.58
2014-12-01,2014-12,20.08,1.92,2.83
2015-01-01,2015-01,20.02,1.97,2.83
2015-02-01,2015-02,20.77,1.94,2.83
2015-03-01,2015-03,20.96,1.96,2.83
2015-04-01,2015-04,21.42,1.96,2.83
2015-05-01,2015-05,21.92,1.96,2.83
2015-06-01,2015-06,22.12,1.99,2.83
2015-07-01,2015-07,22.4,2.01,2.83
2015-08-01,2015-08,22.15,2.07,2.83
2015-09-01,2015-09,21.45,2.19,2.83
2015-10-01,2015-10,22.68,2.11,2.83
2015-11-01,2015-11,23.67,2.07,2.83
2015-12-01,2015-12,23.74,2.11,2.76
2016-01-01,2016-01,22.18,2.27,2.76
2016-02-01,2016-02,22.02,2.3,2.76
2016-03-01,2016-03,23.39,2.17,2.76
2016-04-01,2016-04,23.97,2.12,2.76
2016-05-01,2016-05,23.81,2.14,2.76
2016-06-01,2016-06,23.97,2.13,2.76
2016-07-01,2016-07,24.52,2.08,2.76
2016-08-01,2016-08,24.57,2.07,2.76
2016-09-01,2016-09,24.22,2.09,2.76
2016-10-01,2016-10,23.57,2.11,2.76
2016-11-01,2016-11,23.35,2.1,2.76
2016-12-01,2016-12,23.76,2.03,2.91
2017-01-01,2017-01,23.59,2.02,2.91
2017-02-01,2017-02,23.68,1.98,2.91
2017-03-01,2017-03,23.6,1.96,2.91
2017-04-01,2017-04,23.24,1.98,2.91
2017-05-01,2017-05,23.31,1.96,2.91
2017-06-01,2017-06,23.4,1.94,2.91
2017-07-01,2017-07,23.36,1.94,2.91
2017-08-01,2017-08,23.16,1.95,2.91
2017-09-01,2017-09,23.28,1.93,2.91
2017-10-01,2017-10,23.67,1.89,2.91
2017-11-01,2017-11,23.81,1.88,2.91
2017-12-01,2017-12,24.25,1.84,3.23
2018-01-01,2018-01,24.97,1.77,3.23
2018-02-01,2018-02,23.82,1.84,3.23
2018-03-01,2018-03,23.41,1.85,3.23
2018-04-01,2018-04,22.53,1.9,3.23
2018-05-01,2018-05,22.49,1.88,3.23
2018-06-01,2018-06,22.49,1.85,3.23
2018-07-01,2018-07,22.33,1.84,3.23
2018-08-01,2018-08,22.37,1.82,3.23
2018-09-01,2018-09,22.25,1.8,3.23
2018-10-01,2018-10,21.25,1.9,3.23
2018-11-01,2018-11,20.67,1.96,3.23
2018-12-01,2018-12,19.39,2.09,2.94
2019-01-01,2019-01,19.6,2.08,2.94
2019-02-01,2019-02,20.6,1.98,2.94
2019-03-01,2019-03,20.86,1.96,2.94
2019-04-01,2019-04,21.56,1.9,2.94
2019-05-01,2019-05,21.15,1.95,2.94
2019-06-01,2019-06,21.37,1.94,2.94
2019-07-01,2019-07,22.28,1.88,2.94
2019-08-01,2019-08,21.67,1.96,2.94
2019-09-01,2019-09,22.44,1.92,2.94
2019-10-01,2019-10,22.04,1.93,2.94
2019-11-01,2019-11,22.62,1.86,2.94
2019-12-01,2019-12,22.78,1.83,3.53
2020-01-01,2020-01,24.88,1.79,3.53
2020-02-01,2020-02,26.42,1.8,3.53
2020-03-01,2020-03,22.8,2.25,3.53
2020-04-01,2020-04,24.97,2.16,3.53
2020-05-01,2020-05,27.82,2.04,3.53
2020-06-01,2020-06,31.29,1.92,3.53
2020-07-01,2020-07,32.44,1.85,3.53
2020-08-01,2020-08,34.41,1.74,3.53
2020-09-01,2020-09,34.27,1.75,3.53
2020-10-01,2020-10,35.3,1.72,3.53
2020-11-01,2020-11,37.16,1.65,3.53
2020-12-01,2020-12,39.26,1.58,4.05
2021-01-01,2021-01,35.96,1.53,4.05
2021-02-01,2021-02,33.24,1.49,4.05
2021-03-01,2021-03,30.5,1.47,4.05
2021-04-01,2021-04,29.92,1.39,4.05
2021-05-01,2021-05,28.05,1.39,4.05
2021-06-01,2021-06,26.7,1.37,4.05
2021-07-01,2021-07,26.56,1.34,4.05
2021-08-01,2021-08,26.23,1.32,4.05
2021-09-01,2021-09,25.35,1.33,4.05
2021-10-01,2021-10,24.39,1.34,4.05
2021-11-01,2021-11,24.52,1.29,4.05
2021-12-01,2021-12,23.63,1.29,4.73
2022-01-01,2022-01,23.11,1.33,4.73
2022-02-01,2022-02,22.42,1.39,4.73
2022-03-01,2022-03,22.19,1.41,4.73
2022-04-01,2022-04,22.4,1.43,4.73
2022-05-01,2022-05,20.81,1.57,4.73
2022-06-01,2022-06,20.28,1.64,4.73
2022-07-01,2022-07,20.53,1.65,4.73
2022-08-01,2022-08,22.03,1.56,4.73
2022-09-01,2022-09,20.58,1.7,4.73
2022-10-01,2022-10,20.44,1.77,4.73
2022-11-01,2022-11,22.07,1.69,4.73
2022-12-01,2022-12,22.65,1.71,3.75
2023-01-01,2023-01,22.82,1.7,3.75
2023-02-01,2023-02,23.4,1.66,3.75
2023-03-01,2023-03,22.66,1.72,3.75
2023-04-01,2023-04,23.27,1.66,3.75
2023-05-01,2023-05,23.15,1.65,3.75
2023-06-01,2023-06,24.01,1.58,3.75
2023-07-01,2023-07,24.76,1.53,3.75
2023-08-01,2023-08,24.16,1.56,3.75
2023-09-01,2023-09,23.93,1.57,3.75
2023-10-01,2023-10,22.78,1.64,3.75
2023-11-01,2023-11,23.51,1.57,3.75
2023-12-01,2023-12,24.35,1.5,4.31
2024-01-01,2024-01,25.01,1.47,4.31
2024-02-01,2024-02,26.14,1.41,4.31
2024-03-01,2024-03,27.02,1.37,4.31
2024-04-01,2024-04,26.41,1.4,4.31
2024-05-01,2024-05,26.93,1.37,4.31
2024-06-01,2024-06,27.64,1.33,4.31
2024-07-01,2024-07,28.08,1.31,4.31
2024-08-01,2024-08,27.67,1.33,4.31
2024-09-01,2024-09,28.09,1.3,4.31
2024-10-01,2024-10,28.45,1.28,4.31
2024-11-01,2024-11,28.66,1.25,4.31
2024-12-01,2024-12,28.6,1.24,4.99
2025-01-01,2025-01,28.16,1.26,4.99
2025-02-01,2025-02,28.15,1.25,4.99
2025-03-01,2025-03,26.23,1.34,4.99
2025-04-01,2025-04,24.56,1.43,4.99
2025-05-01,2025-05,26.34,1.32,4.99
2025-06-01,2025-06,27.1,1.28,4.99
2025-07-01,2025-07,27.81,1.23,4.99
2025-08-01,2025-08,27.84,1.22,4.99
2025-09-01,2025-09,28.13,1.19,4.99
2025-10-01,2025-10,28.13,1.17,4.99
2025-11-01,2025-11,28.13,1.17,4.99
2025-12-01,2025-12,28.13,1.15,4.99
